start,end,hour_count
2020-12-06T02:00:00.000Z,2020-12-06T03:00:00.000Z,189
2020-12-06T03:00:00.000Z,2020-12-06T04:00:00.000Z,131
2020-12-06T04:00:00.000Z,2020-12-06T05:00:00.000Z,116
2020-12-06T05:00:00.000Z,2020-12-06T06:00:00.000Z,118
2020-12-06T06:00:00.000Z,2020-12-06T07:00:00.000Z,122
2020-12-06T07:00:00.000Z,2020-12-06T08:00:00.000Z,125
2020-12-06T08:00:00.000Z,2020-12-06T09:00:00.000Z,234
2020-12-06T09:00:00.000Z,2020-12-06T10:00:00.000Z,364
2020-12-06T10:00:00.000Z,2020-12-06T11:00:00.000Z,370
2020-12-06T11:00:00.000Z,2020-12-06T12:00:00.000Z,417
2020-12-06T12:00:00.000Z,2020-12-06T13:00:00.000Z,328
2020-12-06T13:00:00.000Z,2020-12-06T14:00:00.000Z,367
2020-12-06T14:00:00.000Z,2020-12-06T15:00:00.000Z,412
2020-12-06T15:00:00.000Z,2020-12-06T16:00:00.000Z,402
2020-12-06T16:00:00.000Z,2020-12-06T17:00:00.000Z,377
2020-12-06T17:00:00.000Z,2020-12-06T18:00:00.000Z,341
2020-12-06T18:00:00.000Z,2020-12-06T19:00:00.000Z,354
2020-12-06T19:00:00.000Z,2020-12-06T20:00:00.000Z,369
2020-12-06T20:00:00.000Z,2020-12-06T21:00:00.000Z,352
2020-12-06T21:00:00.000Z,2020-12-06T22:00:00.000Z,258
2020-12-06T22:00:00.000Z,2020-12-06T23:00:00.000Z,282
2020-12-06T23:00:00.000Z,2020-12-07T00:00:00.000Z,225
2020-12-07T00:00:00.000Z,2020-12-07T01:00:00.000Z,256
2020-12-07T01:00:00.000Z,2020-12-07T02:00:00.000Z,339
2020-12-07T02:00:00.000Z,2020-12-07T03:00:00.000Z,195
2020-12-07T03:00:00.000Z,2020-12-07T04:00:00.000Z,181
2020-12-07T04:00:00.000Z,2020-12-07T05:00:00.000Z,163
2020-12-07T05:00:00.000Z,2020-12-07T06:00:00.000Z,123
2020-12-07T06:00:00.000Z,2020-12-07T07:00:00.000Z,158
2020-12-07T07:00:00.000Z,2020-12-07T08:00:00.000Z,149
2020-12-07T08:00:00.000Z,2020-12-07T09:00:00.000Z,207
2020-12-07T09:00:00.000Z,2020-12-07T10:00:00.000Z,173
2020-12-07T10:00:00.000Z,2020-12-07T11:00:00.000Z,193
2020-12-07T11:00:00.000Z,2020-12-07T12:00:00.000Z,147
2020-12-07T12:00:00.000Z,2020-12-07T13:00:00.000Z,235
2020-12-07T13:00:00.000Z,2020-12-07T14:00:00.000Z,237
2020-12-07T14:00:00.000Z,2020-12-07T15:00:00.000Z,259
2020-12-07T15:00:00.000Z,2020-12-07T16:00:00.000Z,302
2020-12-07T16:00:00.000Z,2020-12-07T17:00:00.000Z,342
2020-12-07T17:00:00.000Z,2020-12-07T18:00:00.000Z,368
2020-12-07T18:00:00.000Z,2020-12-07T19:00:00.000Z,293
2020-12-07T19:00:00.000Z,2020-12-07T20:00:00.000Z,350
2020-12-07T20:00:00.000Z,2020-12-07T21:00:00.000Z,331
2020-12-07T21:00:00.000Z,2020-12-07T22:00:00.000Z,428
2020-12-07T22:00:00.000Z,2020-12-07T23:00:00.000Z,371
2020-12-07T23:00:00.000Z,2020-12-08T00:00:00.000Z,840
2020-12-08T00:00:00.000Z,2020-12-08T01:00:00.000Z,1104
2020-12-08T01:00:00.000Z,2020-12-08T02:00:00.000Z,703
2020-12-08T02:00:00.000Z,2020-12-08T03:00:00.000Z,427
2020-12-08T03:00:00.000Z,2020-12-08T04:00:00.000Z,367
2020-12-08T04:00:00.000Z,2020-12-08T05:00:00.000Z,292
2020-12-08T05:00:00.000Z,2020-12-08T06:00:00.000Z,337
2020-12-08T06:00:00.000Z,2020-12-08T07:00:00.000Z,328
2020-12-08T07:00:00.000Z,2020-12-08T08:00:00.000Z,301
2020-12-08T08:00:00.000Z,2020-12-08T09:00:00.000Z,294
2020-12-08T09:00:00.000Z,2020-12-08T10:00:00.000Z,260
2020-12-08T10:00:00.000Z,2020-12-08T11:00:00.000Z,229
2020-12-08T11:00:00.000Z,2020-12-08T12:00:00.000Z,204
2020-12-08T12:00:00.000Z,2020-12-08T13:00:00.000Z,236
2020-12-08T13:00:00.000Z,2020-12-08T14:00:00.000Z,309
2020-12-08T14:00:00.000Z,2020-12-08T15:00:00.000Z,330
2020-12-08T15:00:00.000Z,2020-12-08T16:00:00.000Z,333
2020-12-08T16:00:00.000Z,2020-12-08T17:00:00.000Z,352
2020-12-08T17:00:00.000Z,2020-12-08T18:00:00.000Z,355
2020-12-08T18:00:00.000Z,2020-12-08T19:00:00.000Z,348
2020-12-08T19:00:00.000Z,2020-12-08T20:00:00.000Z,294
2020-12-08T20:00:00.000Z,2020-12-08T21:00:00.000Z,596
2020-12-08T21:00:00.000Z,2020-12-08T22:00:00.000Z,814
2020-12-08T22:00:00.000Z,2020-12-08T23:00:00.000Z,632
2020-12-08T23:00:00.000Z,2020-12-09T00:00:00.000Z,399
2020-12-09T00:00:00.000Z,2020-12-09T01:00:00.000Z,268
2020-12-09T01:00:00.000Z,2020-12-09T02:00:00.000Z,272
2020-12-09T02:00:00.000Z,2020-12-09T03:00:00.000Z,255
2020-12-09T03:00:00.000Z,2020-12-09T04:00:00.000Z,242
2020-12-09T04:00:00.000Z,2020-12-09T05:00:00.000Z,214
2020-12-09T05:00:00.000Z,2020-12-09T06:00:00.000Z,182
2020-12-09T06:00:00.000Z,2020-12-09T07:00:00.000Z,571
2020-12-09T07:00:00.000Z,2020-12-09T08:00:00.000Z,240
2020-12-09T08:00:00.000Z,2020-12-09T09:00:00.000Z,252
2020-12-09T09:00:00.000Z,2020-12-09T10:00:00.000Z,245
2020-12-09T10:00:00.000Z,2020-12-09T11:00:00.000Z,181
2020-12-09T11:00:00.000Z,2020-12-09T12:00:00.000Z,185
2020-12-09T12:00:00.000Z,2020-12-09T13:00:00.000Z,255
2020-12-09T13:00:00.000Z,2020-12-09T14:00:00.000Z,356
2020-12-09T14:00:00.000Z,2020-12-09T15:00:00.000Z,257
2020-12-09T15:00:00.000Z,2020-12-09T16:00:00.000Z,277
2020-12-09T16:00:00.000Z,2020-12-09T17:00:00.000Z,312
2020-12-09T17:00:00.000Z,2020-12-09T18:00:00.000Z,305
2020-12-09T18:00:00.000Z,2020-12-09T19:00:00.000Z,303
2020-12-09T19:00:00.000Z,2020-12-09T20:00:00.000Z,311
2020-12-09T20:00:00.000Z,2020-12-09T21:00:00.000Z,308
2020-12-09T21:00:00.000Z,2020-12-09T22:00:00.000Z,301
2020-12-09T22:00:00.000Z,2020-12-09T23:00:00.000Z,248
2020-12-09T23:00:00.000Z,2020-12-10T00:00:00.000Z,284
2020-12-10T00:00:00.000Z,2020-12-10T01:00:00.000Z,288
2020-12-10T01:00:00.000Z,2020-12-10T02:00:00.000Z,232
2020-12-10T02:00:00.000Z,2020-12-10T03:00:00.000Z,208
2020-12-10T03:00:00.000Z,2020-12-10T04:00:00.000Z,225
2020-12-10T04:00:00.000Z,2020-12-10T05:00:00.000Z,180
2020-12-10T05:00:00.000Z,2020-12-10T06:00:00.000Z,158
2020-12-10T06:00:00.000Z,2020-12-10T07:00:00.000Z,109
2020-12-10T07:00:00.000Z,2020-12-10T08:00:00.000Z,136
2020-12-10T08:00:00.000Z,2020-12-10T09:00:00.000Z,120
2020-12-10T09:00:00.000Z,2020-12-10T10:00:00.000Z,110
2020-12-10T10:00:00.000Z,2020-12-10T11:00:00.000Z,150
2020-12-10T11:00:00.000Z,2020-12-10T12:00:00.000Z,110
2020-12-10T12:00:00.000Z,2020-12-10T13:00:00.000Z,157
2020-12-10T13:00:00.000Z,2020-12-10T14:00:00.000Z,224
2020-12-10T14:00:00.000Z,2020-12-10T15:00:00.000Z,247
2020-12-10T15:00:00.000Z,2020-12-10T16:00:00.000Z,299
2020-12-10T16:00:00.000Z,2020-12-10T17:00:00.000Z,369
2020-12-10T17:00:00.000Z,2020-12-10T18:00:00.000Z,483
2020-12-10T18:00:00.000Z,2020-12-10T19:00:00.000Z,413
2020-12-10T19:00:00.000Z,2020-12-10T20:00:00.000Z,386
2020-12-10T20:00:00.000Z,2020-12-10T21:00:00.000Z,321
2020-12-10T21:00:00.000Z,2020-12-10T22:00:00.000Z,347
2020-12-10T22:00:00.000Z,2020-12-10T23:00:00.000Z,360
2020-12-10T23:00:00.000Z,2020-12-11T00:00:00.000Z,494
2020-12-11T00:00:00.000Z,2020-12-11T01:00:00.000Z,439
2020-12-11T01:00:00.000Z,2020-12-11T02:00:00.000Z,412
2020-12-11T02:00:00.000Z,2020-12-11T03:00:00.000Z,618
2020-12-11T03:00:00.000Z,2020-12-11T04:00:00.000Z,763
2020-12-11T04:00:00.000Z,2020-12-11T05:00:00.000Z,682
2020-12-11T05:00:00.000Z,2020-12-11T06:00:00.000Z,418
2020-12-11T06:00:00.000Z,2020-12-11T07:00:00.000Z,279
2020-12-11T07:00:00.000Z,2020-12-11T08:00:00.000Z,301
2020-12-11T08:00:00.000Z,2020-12-11T09:00:00.000Z,232
2020-12-11T09:00:00.000Z,2020-12-11T10:00:00.000Z,260
2020-12-11T10:00:00.000Z,2020-12-11T11:00:00.000Z,254
2020-12-11T11:00:00.000Z,2020-12-11T12:00:00.000Z,246
2020-12-11T12:00:00.000Z,2020-12-11T13:00:00.000Z,279
2020-12-11T13:00:00.000Z,2020-12-11T14:00:00.000Z,328
2020-12-11T14:00:00.000Z,2020-12-11T15:00:00.000Z,348
2020-12-11T15:00:00.000Z,2020-12-11T16:00:00.000Z,389
2020-12-11T16:00:00.000Z,2020-12-11T17:00:00.000Z,372
2020-12-11T17:00:00.000Z,2020-12-11T18:00:00.000Z,425
2020-12-11T18:00:00.000Z,2020-12-11T19:00:00.000Z,385
2020-12-11T19:00:00.000Z,2020-12-11T20:00:00.000Z,396
2020-12-11T20:00:00.000Z,2020-12-11T21:00:00.000Z,374
2020-12-11T21:00:00.000Z,2020-12-11T22:00:00.000Z,354
2020-12-11T22:00:00.000Z,2020-12-11T23:00:00.000Z,295
2020-12-11T23:00:00.000Z,2020-12-12T00:00:00.000Z,282
2020-12-12T00:00:00.000Z,2020-12-12T01:00:00.000Z,261
2020-12-12T01:00:00.000Z,2020-12-12T02:00:00.000Z,266
2020-12-12T02:00:00.000Z,2020-12-12T03:00:00.000Z,205
2020-12-12T03:00:00.000Z,2020-12-12T04:00:00.000Z,190
2020-12-12T04:00:00.000Z,2020-12-12T05:00:00.000Z,146
2020-12-12T05:00:00.000Z,2020-12-12T06:00:00.000Z,104
2020-12-12T06:00:00.000Z,2020-12-12T07:00:00.000Z,132
2020-12-12T07:00:00.000Z,2020-12-12T08:00:00.000Z,107
2020-12-12T08:00:00.000Z,2020-12-12T09:00:00.000Z,129
2020-12-12T09:00:00.000Z,2020-12-12T10:00:00.000Z,107
2020-12-12T10:00:00.000Z,2020-12-12T11:00:00.000Z,97
2020-12-12T11:00:00.000Z,2020-12-12T12:00:00.000Z,107
2020-12-12T12:00:00.000Z,2020-12-12T13:00:00.000Z,121
2020-12-12T13:00:00.000Z,2020-12-12T14:00:00.000Z,137
2020-12-12T14:00:00.000Z,2020-12-12T15:00:00.000Z,220
2020-12-12T15:00:00.000Z,2020-12-12T16:00:00.000Z,277
2020-12-12T16:00:00.000Z,2020-12-12T17:00:00.000Z,278
2020-12-12T17:00:00.000Z,2020-12-12T18:00:00.000Z,242
2020-12-12T18:00:00.000Z,2020-12-12T19:00:00.000Z,243
2020-12-12T19:00:00.000Z,2020-12-12T20:00:00.000Z,241
2020-12-12T20:00:00.000Z,2020-12-12T21:00:00.000Z,239
2020-12-12T21:00:00.000Z,2020-12-12T22:00:00.000Z,299
2020-12-12T22:00:00.000Z,2020-12-12T23:00:00.000Z,370
2020-12-12T23:00:00.000Z,2020-12-13T00:00:00.000Z,386
2020-12-13T00:00:00.000Z,2020-12-13T01:00:00.000Z,228
2020-12-13T01:00:00.000Z,2020-12-13T02:00:00.000Z,220
2020-12-13T02:00:00.000Z,2020-12-13T03:00:00.000Z,292
2020-12-13T03:00:00.000Z,2020-12-13T04:00:00.000Z,268
2020-12-13T04:00:00.000Z,2020-12-13T05:00:00.000Z,205
2020-12-13T05:00:00.000Z,2020-12-13T06:00:00.000Z,247
2020-12-13T06:00:00.000Z,2020-12-13T07:00:00.000Z,158
2020-12-13T07:00:00.000Z,2020-12-13T08:00:00.000Z,156
2020-12-13T08:00:00.000Z,2020-12-13T09:00:00.000Z,181
2020-12-13T09:00:00.000Z,2020-12-13T10:00:00.000Z,184
2020-12-13T10:00:00.000Z,2020-12-13T11:00:00.000Z,118
2020-12-13T11:00:00.000Z,2020-12-13T12:00:00.000Z,163
2020-12-13T12:00:00.000Z,2020-12-13T13:00:00.000Z,152
2020-12-13T13:00:00.000Z,2020-12-13T14:00:00.000Z,235
2020-12-13T14:00:00.000Z,2020-12-13T15:00:00.000Z,250
2020-12-13T15:00:00.000Z,2020-12-13T16:00:00.000Z,308
2020-12-13T16:00:00.000Z,2020-12-13T17:00:00.000Z,381
2020-12-13T17:00:00.000Z,2020-12-13T18:00:00.000Z,364
2020-12-13T18:00:00.000Z,2020-12-13T19:00:00.000Z,872
2020-12-13T19:00:00.000Z,2020-12-13T20:00:00.000Z,457
2020-12-13T20:00:00.000Z,2020-12-13T21:00:00.000Z,315
2020-12-13T21:00:00.000Z,2020-12-13T22:00:00.000Z,381
2020-12-13T22:00:00.000Z,2020-12-13T23:00:00.000Z,274
2020-12-13T23:00:00.000Z,2020-12-14T00:00:00.000Z,271
2020-12-14T00:00:00.000Z,2020-12-14T01:00:00.000Z,278
2020-12-14T01:00:00.000Z,2020-12-14T02:00:00.000Z,260
2020-12-14T02:00:00.000Z,2020-12-14T03:00:00.000Z,211
2020-12-14T03:00:00.000Z,2020-12-14T04:00:00.000Z,194
2020-12-14T04:00:00.000Z,2020-12-14T05:00:00.000Z,167
2020-12-14T05:00:00.000Z,2020-12-14T06:00:00.000Z,120
2020-12-14T06:00:00.000Z,2020-12-14T07:00:00.000Z,109
2020-12-14T07:00:00.000Z,2020-12-14T08:00:00.000Z,111
2020-12-14T08:00:00.000Z,2020-12-14T09:00:00.000Z,99
2020-12-14T09:00:00.000Z,2020-12-14T10:00:00.000Z,112
2020-12-14T10:00:00.000Z,2020-12-14T11:00:00.000Z,107
2020-12-14T11:00:00.000Z,2020-12-14T12:00:00.000Z,125
2020-12-14T12:00:00.000Z,2020-12-14T13:00:00.000Z,146
2020-12-14T13:00:00.000Z,2020-12-14T14:00:00.000Z,201
2020-12-14T14:00:00.000Z,2020-12-14T15:00:00.000Z,273
2020-12-14T15:00:00.000Z,2020-12-14T16:00:00.000Z,276
2020-12-14T16:00:00.000Z,2020-12-14T17:00:00.000Z,297
2020-12-14T17:00:00.000Z,2020-12-14T18:00:00.000Z,341
2020-12-14T18:00:00.000Z,2020-12-14T19:00:00.000Z,273
2020-12-14T19:00:00.000Z,2020-12-14T20:00:00.000Z,299
2020-12-14T20:00:00.000Z,2020-12-14T21:00:00.000Z,227
2020-12-14T21:00:00.000Z,2020-12-14T22:00:00.000Z,343
2020-12-14T22:00:00.000Z,2020-12-14T23:00:00.000Z,279
2020-12-14T23:00:00.000Z,2020-12-15T00:00:00.000Z,219
2020-12-15T00:00:00.000Z,2020-12-15T01:00:00.000Z,252
2020-12-15T01:00:00.000Z,2020-12-15T02:00:00.000Z,196
2020-12-15T02:00:00.000Z,2020-12-15T03:00:00.000Z,186
2020-12-15T03:00:00.000Z,2020-12-15T04:00:00.000Z,140
2020-12-15T04:00:00.000Z,2020-12-15T05:00:00.000Z,132
2020-12-15T05:00:00.000Z,2020-12-15T06:00:00.000Z,127
2020-12-15T06:00:00.000Z,2020-12-15T07:00:00.000Z,194
2020-12-15T07:00:00.000Z,2020-12-15T08:00:00.000Z,86
2020-12-15T08:00:00.000Z,2020-12-15T09:00:00.000Z,127
2020-12-15T09:00:00.000Z,2020-12-15T10:00:00.000Z,96
2020-12-15T10:00:00.000Z,2020-12-15T11:00:00.000Z,97
2020-12-15T11:00:00.000Z,2020-12-15T12:00:00.000Z,124
2020-12-15T12:00:00.000Z,2020-12-15T13:00:00.000Z,147
2020-12-15T13:00:00.000Z,2020-12-15T14:00:00.000Z,168
2020-12-15T14:00:00.000Z,2020-12-15T15:00:00.000Z,197
2020-12-15T15:00:00.000Z,2020-12-15T16:00:00.000Z,200
2020-12-15T16:00:00.000Z,2020-12-15T17:00:00.000Z,258
2020-12-15T17:00:00.000Z,2020-12-15T18:00:00.000Z,315
2020-12-15T18:00:00.000Z,2020-12-15T19:00:00.000Z,255
2020-12-15T19:00:00.000Z,2020-12-15T20:00:00.000Z,238
2020-12-15T20:00:00.000Z,2020-12-15T21:00:00.000Z,223
2020-12-15T21:00:00.000Z,2020-12-15T22:00:00.000Z,263
2020-12-15T22:00:00.000Z,2020-12-15T23:00:00.000Z,236
2020-12-15T23:00:00.000Z,2020-12-16T00:00:00.000Z,209
2020-12-16T00:00:00.000Z,2020-12-16T01:00:00.000Z,196
2020-12-16T01:00:00.000Z,2020-12-16T02:00:00.000Z,212
2020-12-16T02:00:00.000Z,2020-12-16T03:00:00.000Z,218
2020-12-16T03:00:00.000Z,2020-12-16T04:00:00.000Z,185
